cp,ko,en,fr,es
👩‍💻,여자 기술 전문가,woman technologist,informaticienne,profesional de la tecnología mujer
🧑‍🎤,가수,singer,chanteur (tous genres),cantante
👨‍🎤,남자 가수,man singer,chanteur,cantante hombre
👩‍🎤,여자 가수,woman singer,chanteuse,cantante mujer
🧑‍🎨,화가,artist,artiste,artista
👨‍🎨,남자 화가,man artist,artiste homme,artista hombre
👩‍🎨,여자 화가,woman artist,artiste femme,artista mujer
🧑‍✈,기장,pilot,pilote,piloto
👨‍✈,남자 기장,man pilot,pilote homme,piloto hombre
👩‍✈,여자 기장,woman pilot,pilote femme,piloto mujer
🧑‍🚀,우주비행사,astronaut,astronaute,astronauta
👨‍🚀,남자 우주비행사,man astronaut,astronaute homme,astronauta hombre
👩‍🚀,여자 우주비행사,woman astronaut,astronaute femme,astronauta mujer
🧑‍🚒,소방관,firefighter,pompier,bombero
👨‍🚒,남자 소방관,man firefighter,pompier homme,bombero hombre
👩‍🚒,여자 소방관,woman firefighter,pompier femme,bombera
👮,경찰관,police officer,officier de police,agente de policía
👮‍♂,남자 경찰관,man police officer,policier,agente de policía hombre
👮‍♀,여자 경찰관,woman police officer,policière,agente de policía mujer
🕵,탐정,detective,détective,detective
🕵‍♂,남자 탐정,man detective,détective homme,detective hombre
🕵‍♀,여자 탐정,woman detective,détective femme,detective mujer
💂,근위병,guard,garde,guardia
💂‍♂,남자 근위병,man guard,garde homme,guardia hombre
💂‍♀,여자 근위병,woman guard,garde femme,guardia mujer
👷,건설 노동자,construction worker,personnel du bâtiment,profesional de la construcción
👷‍♂,건설 현장 남자 노동자,man construction worker,ouvrier du bâtiment,profesional de la construcción hombre
👷‍♀,건설 현장 여자 노동자,woman construction worker,ouvrière du bâtiment,profesional de la construcción mujer
🤴,왕자,prince,prince,príncipe
👸,공주,princess,princesse,princesa
👳,터번을 쓰고 있는 사람,person wearing turban,personne en turban,persona con turbante
👳‍♂,터번을 쓰고 있는 남자,man wearing turban,homme en turban,hombre con turbante
👳‍♀,터번을 쓰고 있는 여자,woman wearing turban,femme en turban,mujer con turbante
👲,중국 전통 모자를 쓰고 있는 남자,person with skullcap,homme avec casquette chinoise,hombre con gorro chino
🧕,머리에 스카프를 두른 여자,woman with headscarf,femme avec foulard,mujer con hiyab
🤵,턱시도를 입은 사람,person in tuxedo,personne en smoking,persona con esmoquin
🤵‍♀,턱시도를 입은 여자,woman in tuxedo,femme en smoking,mujer con esmoquin
🤵‍♂,턱시도를 입은 남자,man in tuxedo,homme en smoking,hombre con esmoquin
👰,면사포를 쓴 사람,person with veil,personne mariée avec voile,persona con velo
👰‍♀,면사포를 쓴 여자,woman with veil,femme avec voile,mujer con velo
👰‍♂,면사포를 쓴 남자,man with veil,homme avec voile,hombre con velo
🤰,임산부,pregnant woman,femme enceinte,mujer embarazada
🤱,모유 수유,breast-feeding,allaitement,lactancia materna
👼,아기 천사,baby angel,bébé ange,bebé ángel
🎅,산타클로스,Santa Claus,père Noël,Papá Noel
🤶,산타할머니,Mrs. Claus,mère Noël,Mamá Noel
🦸,히로인,superhero,super-héros,personaje de superhéroe
🦸‍♂,남자 히어로,man superhero,super-héros homme,superhéroe
🦸‍♀,여자 히어로,woman superhero,super-héroïne,superheroína
🦹,슈퍼 악당,supervillain,super-vilain,personaje de supervillano
🦹‍♂,남자 슈퍼 악당,man supervillain,super-vilain homme,supervillano
🦹‍♀,여자 슈퍼 악당,woman supervillain,super-vilain femme,supervillana
🧙,마법사,mage,mage,persona maga
🧙‍♂,남자 마법사,man mage,mage homme,mago
🧙‍♀,여자 마법사,woman mage,mage femme,maga
🧚,요정,fairy,personnage féérique,hada
